join_key,smp_id,Lat_Site.x,Long_Site.x,Top_depth_cm.x,Bottom_depth_cm.x,scan_path_name,SOC,Bulk.Density_1_3.BAR,Bulk.Density_ovendry,Calcium_Carbonate_equivalent,Carbon_Total,CEC,Clay,Nitrogen_Total,pH,Phosphorus_Mehlich3,Phosphorus_Olsen,Potassium,Sand,Silt
101056XS02,101056,37.947197,-98.2826157,0,26,101056XS02.0,0.75,1.3431442499999999,1.4737533599999999,3.9974090000000002,1.2289772699999999,8.2255772,13.0505123,NA,8.83,3.9420025999999999,NA,NA,69.5,17.4
101056XS03,101056,37.947197,-98.2826157,0,26,101056XS03.0,0.75,1.3431442499999999,1.4737533599999999,3.9974090000000002,1.2289772699999999,8.2255772,13.0505123,NA,8.83,3.9420025999999999,NA,NA,69.5,17.4
101056XS04,101056,37.947197,-98.2826157,0,26,101056XS04.0,0.75,1.3431442499999999,1.4737533599999999,3.9974090000000002,1.2289772699999999,8.2255772,13.0505123,NA,8.83,3.9420025999999999,NA,NA,69.5,17.4
101057XS01,101057,37.947197,-98.2826157,26,41,101057XS01.0,0.5148,1.49195096,1.5769434600000001,4.4556319999999996,1.05201118,7.192491,12.5966621,3.7248243E-2,8.6,0.95637380000000005,NA,NA,71.4,16
101057XS02,101057,37.947197,-98.2826157,26,41,101057XS02.0,0.5148,1.49195096,1.5769434600000001,4.4556319999999996,1.05201118,7.192491,12.5966621,3.7248243E-2,8.6,0.95637380000000005,NA,NA,71.4,16
101057XS03,101057,37.947197,-98.2826157,26,41,101057XS03.0,0.5148,1.49195096,1.5769434600000001,4.4556319999999996,1.05201118,7.192491,12.5966621,3.7248243E-2,8.6,0.95637380000000005,NA,NA,71.4,16
101057XS04,101057,37.947197,-98.2826157,26,41,101057XS04.0,0.5148,1.49195096,1.5769434600000001,4.4556319999999996,1.05201118,7.192491,12.5966621,3.7248243E-2,8.6,0.95637380000000005,NA,NA,71.4,16
101058XS01,101058,37.947197,-98.2826157,41,58,101058XS01.0,0.4408,1.49645754,1.5635705499999999,3.163386,0.81838809999999995,6.7108119,10.3870981,3.1205449999999999E-2,8.28,0.99656120000000004,NA,NA,76.5,13.1
101058XS02,101058,37.947197,-98.2826157,41,58,101058XS02.0,0.4408,1.49645754,1.5635705499999999,3.163386,0.81838809999999995,6.7108119,10.3870981,3.1205449999999999E-2,8.28,0.99656120000000004,NA,NA,76.5,13.1
101058XS03,101058,37.947197,-98.2826157,41,58,101058XS03.0,0.4408,1.49645754,1.5635705499999999,3.163386,0.81838809999999995,6.7108119,10.3870981,3.1205449999999999E-2,8.28,0.99656120000000004,NA,NA,76.5,13.1
101058XS04,101058,37.947197,-98.2826157,41,58,101058XS04.0,0.4408,1.49645754,1.5635705499999999,3.163386,0.81838809999999995,6.7108119,10.3870981,3.1205449999999999E-2,8.28,0.99656120000000004,NA,NA,76.5,13.1
101059XS01,101059,37.947197,-98.2826157,58,77,101059XS01.0,0.238,1.6148544899999999,1.7004626,1.597933,0.42549598,7.5903643,10.8866214,NA,8.275,NA,NA,NA,75.3,13.8
101059XS02,101059,37.947197,-98.2826157,58,77,101059XS02.0,0.238,1.6148544899999999,1.7004626,1.597933,0.42549598,7.5903643,10.8866214,NA,8.275,NA,NA,NA,75.3,13.8
101059XS03,101059,37.947197,-98.2826157,58,77,101059XS03.0,0.238,1.6148544899999999,1.7004626,1.597933,0.42549598,7.5903643,10.8866214,NA,8.275,NA,NA,NA,75.3,13.8
